Year,Loan Status,Value,Count
2005,Completed,78687,22
2005,Current,0,0
2005,Defaulted/Charged Off,0,0
2005,Final Payment,0,0
2005,Past Due < 120 Days,0,0
2005,Past Due > 120 Days,0,0
2005,Cancelled,0,0
2006,Completed,17298830,3577
2006,Current,0,0
2006,Defaulted/Charged Off,10825869,2325
2006,Final Payment,0,0
2006,Past Due < 120 Days,0,0
2006,Past Due > 120 Days,0,0
2006,Cancelled,7500,4
2007,Completed,45908012,6936
2007,Current,0,0
2007,Defaulted/Charged Off,34879774,4524
2007,Final Payment,0,0
2007,Past Due < 120 Days,0,0
2007,Past Due > 120 Days,0,0
2007,Cancelled,0,0
2008,Completed,45385707,7743
2008,Current,0,0
2008,Defaulted/Charged Off,24175143,3808
2008,Final Payment,0,0
2008,Past Due < 120 Days,0,0
2008,Past Due > 120 Days,0,0
2008,Cancelled,1000,1
2009,Completed,7590107,1736
2009,Current,0,0
2009,Defaulted/Charged Off,1324289,311
2009,Final Payment,0,0
2009,Past Due < 120 Days,0,0
2009,Past Due > 120 Days,0,0
2009,Cancelled,0,0
2010,Completed,22654041,4688
2010,Current,270800,19
2010,Defaulted/Charged Off,3976145,937
2010,Final Payment,0,0
2010,Past Due < 120 Days,39500,8
2010,Past Due > 120 Days,0,0
2010,Cancelled,0,0
2011,Completed,35579535,5488
2011,Current,24040002,3261
2011,Defaulted/Charged Off,13223654,2145
2011,Final Payment,265457,39
2011,Past Due < 120 Days,2000365,291
2011,Past Due > 120 Days,29000,4
2011,Cancelled,0,0
2012,Completed,39661280,5518
2012,Current,87997452,10487
2012,Defaulted/Charged Off,18243762,2622
2012,Final Payment,429198,54
2012,Past Due < 120 Days,6778424,865
2012,Past Due > 120 Days,65000,7
2012,Cancelled,0,0
2013,Completed,20877251,2297
2013,Current,329808248,30743
2013,Defaulted/Charged Off,2637928,338
2013,Final Payment,873000,94
2013,Past Due < 120 Days,7935351,868
2013,Past Due > 120 Days,38500,5
2013,Cancelled,0,0
2014,Completed,610086,69
2014,Current,144058100,12066
2014,Defaulted/Charged Off,0,0
2014,Final Payment,143300,18
2014,Past Due < 120 Days,184050,19
2014,Past Due > 120 Days,0,0
2014,Cancelled,0,0
