Year,State,Category,Total,Average,Count
2006,AK,Other/NA,5000,2500.0,2
2006,AL,Other/NA,347427,4893.33802817,71
2006,AR,Other/NA,7000,1166.66666667,6
2006,AZ,Other/NA,342475,4963.4057971,69
2006,CA,Other/NA,2898995,5763.40954274,503
2006,CO,Other/NA,321300,6062.26415094,53
2006,CT,Other/NA,30800,3850.0,8
2006,DE,Other/NA,5000,2500.0,2
2006,FL,Other/NA,814478,5656.09722222,144
2006,GA,Other/NA,1441680,5743.74501992,251
2006,HI,Other/NA,24950,4990.0,5
2006,IA,Other/NA,51001,3923.15384615,13
2006,ID,Other/NA,89650,4482.5,20
2006,IL,Other/NA,730202,4372.46706587,167
2006,IN,Other/NA,302634,6052.68,50
2006,KS,Other/NA,90330,2822.8125,32
2006,KY,Other/NA,2000,2000.0,1
2006,LA,Other/NA,93050,4897.36842105,19
2006,MA,Other/NA,386923,8232.40425532,47
2006,MD,Other/NA,276630,8382.72727273,33
2006,ME,Other/NA,27150,3393.75,8
2006,MI,Other/NA,488062,3669.63909774,133
2006,MN,Other/NA,5600,1120.0,5
2006,MO,Other/NA,535150,4778.125,112
2006,MS,Other/NA,17750,2218.75,8
2006,MT,Other/NA,51900,3460.0,15
2006,NC,Other/NA,358900,5127.14285714,70
2006,ND,Other/NA,31900,4557.14285714,7
2006,NE,Other/NA,19200,2133.33333333,9
2006,NH,Other/NA,127108,11555.2727273,11
2006,NJ,Other/NA,195125,5738.97058824,34
2006,NM,Other/NA,81857,4092.85,20
2006,NY,Other/NA,626389,5543.26548673,113
2006,OH,Other/NA,14863,2477.16666667,6
2006,OK,Other/NA,87904,3662.66666667,24
2006,OR,Other/NA,384144,4684.68292683,82
2006,PA,Other/NA,30100,2736.36363636,11
2006,SC,Other/NA,13800,2760.0,5
2006,TN,Other/NA,37300,2486.66666667,15
2006,TX,Other/NA,1848019,3763.78615071,491
2006,UT,Other/NA,199426,5248.05263158,38
2006,VA,Other/NA,175067,4731.54054054,37
2006,WA,Other/NA,440247,4114.45794393,107
2006,WI,Other/NA,167150,4775.71428571,35
2006,WV,Other/NA,38650,2973.07692308,13
2006,WY,Other/NA,10250,10250.0,1
2007,AK,Debt,14000,14000.0,1
2007,AK,Other/NA,77800,7780.0,10
2007,AL,Debt,13000,4333.33333333,3
2007,AL,Medical & Personal,19000,6333.33333333,3
2007,AL,Other/NA,1280161,5845.48401826,219
2007,AR,Other/NA,27600,3450.0,8
2007,AZ,Business,30200,15100.0,2
2007,AZ,Debt,68100,8512.5,8
2007,AZ,Medical & Personal,4700,2350.0,2
2007,AZ,Other/NA,1469793,7134.91747573,206
2007,CA,Auto & Home,25700,6425.0,4
2007,CA,Business,135600,12327.2727273,11
2007,CA,Debt,287809,7195.225,40
2007,CA,Medical & Personal,156899,8257.84210526,19
2007,CA,Other/NA,13562059,8229.40473301,1648
2007,CA,Student,8551,4275.5,2
2007,CO,Business,1500,1500.0,1
2007,CO,Debt,54250,6027.77777778,9
2007,CO,Medical & Personal,25750,8583.33333333,3
2007,CO,Other/NA,1340082,7486.49162011,179
2007,CT,Debt,13000,6500.0,2
2007,CT,Other/NA,155159,5541.39285714,28
2007,DE,Other/NA,25575,5115.0,5
2007,FL,Auto & Home,1250,1250.0,1
2007,FL,Business,25000,8333.33333333,3
2007,FL,Debt,52000,13000.0,4
2007,FL,Medical & Personal,19000,6333.33333333,3
2007,FL,Other/NA,2938040,7382.01005025,398
2007,GA,Auto & Home,8201,4100.5,2
2007,GA,Business,53001,7571.57142857,7
2007,GA,Debt,148304,8239.11111111,18
2007,GA,Medical & Personal,47800,7966.66666667,6
2007,GA,Other/NA,5414870,7928.06734993,683
2007,GA,Student,11002,3667.33333333,3
2007,HI,Other/NA,196700,10927.7777778,18
2007,IA,Business,25000,25000.0,1
2007,IA,Debt,15000,15000.0,1
2007,IA,Other/NA,433827,6110.23943662,71
2007,ID,Business,5000,5000.0,1
2007,ID,Debt,17500,8750.0,2
2007,ID,Medical & Personal,6800,1700.0,4
2007,ID,Other/NA,426442,6271.20588235,68
2007,IL,Auto & Home,24500,8166.66666667,3
2007,IL,Business,15000,15000.0,1
2007,IL,Debt,165140,6605.6,25
2007,IL,Medical & Personal,31850,2895.45454545,11
2007,IL,Other/NA,4521611,6610.54239766,684
2007,IL,Student,7000,3500.0,2
2007,IN,Auto & Home,7500,7500.0,1
2007,IN,Debt,28500,7125.0,4
2007,IN,Medical & Personal,10000,2500.0,4
2007,IN,Other/NA,981575,7325.18656716,134
2007,IN,Student,1600,1600.0,1
2007,KS,Auto & Home,10000,10000.0,1
2007,KS,Debt,7500,7500.0,1
2007,KS,Medical & Personal,5500,2750.0,2
2007,KS,Other/NA,422050,6299.25373134,67
2007,KY,Medical & Personal,15001,15001.0,1
2007,KY,Other/NA,256706,12835.3,20
