Month Year,Year,Credit Rating,S_DollarLenderYield,Value Loans (agg),S_LYNetP,S_annualNetP,L_DollarLenderYield,L_LOA,L_LYNetP,L_annualNetP,estYield,Estimated Yield,estRateDiff
April-2006,2006,A,30352.42,256302,30352.42,-21226.8734132,35.0,35,35.0,35.0,11.8424436797,-8.28197728194,20.1244209617
April-2006,2006,AA,22088.8425,230503,22088.8425,11160.7363783,35.0,35,35.0,35.0,9.58288720754,4.8419050417,4.74098216584
April-2006,2006,B,54156.1825,365507,54156.1825,-47991.6645732,53.0,53,53.0,53.0,14.8167292282,-13.130162917,27.9468921452
April-2006,2006,C,46514.668,281553,46514.668,-15340.2079929,63.0,63,63.0,63.0,16.5207502673,-5.44842640388,21.9691766711
April-2006,2006,D,42927.716,210431,42927.716,-20164.1216396,53.0,53,53.0,53.0,20.3999011552,-9.58229616341,29.9821973187
April-2006,2006,E,25404.48,118854,25404.48,-16867.4268331,34.0,34,34.0,34.0,21.3745267303,-14.1917199531,35.5662466834
April-2006,2006,HR,9535.57,46277,9535.57,-12790.6500297,21.0,21,21.0,21.0,20.6054195389,-27.6393241344,48.2447436732
April-2006,2006,NC,2620.625,13950,2620.625,-4261.72929826,6.0,6,6.0,6.0,18.7858422939,-30.5500308119,49.3358731058
April-2007,2007,A,143074.9179,1142339,143074.9179,-100189.415397,102.0,102,102.0,102.0,12.5247337174,-8.77055019545,21.2952839128
April-2007,2007,AA,139390.2624,1266156,139390.2624,-31411.4140325,126.0,126,126.0,126.0,11.0089327381,-2.48084864997,13.4897813881
April-2007,2007,B,212142.8995,1488066,212142.8995,-208171.644444,145.0,145,145.0,145.0,14.2562829538,-13.9894093705,28.2456923244
April-2007,2007,C,258344.7733,1540084,258344.7733,-237725.836099,188.0,188,188.0,188.0,16.7747196452,-15.4359006456,32.2106202908
April-2007,2007,D,263378.5338,1343947,263378.5338,-290700.547809,196.0,196,196.0,196.0,19.597389912,-21.6303580282,41.2277479401
April-2007,2007,E,124744.638,547166,124744.638,-109497.170991,113.0,113,113.0,113.0,22.7983167814,-20.0116913316,42.8100081129
April-2007,2007,HR,111211.1294,495744,111211.1294,-144059.551052,155.0,155,155.0,155.0,22.4331770833,-29.059262654,51.4924397374
April-2008,2008,A,221915.4684,1611291,221915.4684,-192213.654969,190.0,190,190.0,190.0,13.7725257821,-11.9291707686,25.7016965507
April-2008,2008,AA,219938.1484,1953738,219938.1484,-91103.8457776,198.0,198,198.0,198.0,11.2573000269,-4.66305337653,15.9203534035
April-2008,2008,B,296305.485,1781027,296305.485,-193736.877298,236.0,236,236.0,236.0,16.6367767024,-10.8778180959,27.5145947983
April-2008,2008,C,279766.3454,1664276,279766.3454,-212983.985801,310.0,310,310.0,310.0,16.8100931216,-12.7973957325,29.6074888541
April-2008,2008,D,189092.3476,1046820,189092.3476,-153146.968056,237.0,237,237.0,237.0,18.0635016144,-14.6297327196,32.6932343341
April-2008,2008,E,61919.4815,234996,61919.4815,-41005.8623048,96.0,96,96.0,96.0,26.3491640283,-17.4496001229,43.7987641512
April-2008,2008,HR,58255.6163,200804,58255.6163,-33963.5187162,103.0,103,103.0,103.0,29.0111831936,-16.9137660187,45.9249492123
April-2009,2009,A,271.9,4000,271.9,-4000.0,2.0,2,2.0,2.0,6.7975,-100.0,106.7975
April-2009,2009,AA,382.0,5000,382.0,-5000.0,1.0,1,1.0,1.0,7.64,-100.0,107.64
April-2009,2009,B,227.25,1500,227.25,-1500.0,1.0,1,1.0,1.0,15.15,-100.0,115.15
April-2009,2009,C,1079.5,5700,1079.5,-5700.0,3.0,3,3.0,3.0,18.9385964912,-100.0,118.938596491
April-2009,2009,D,1516.5,4500,1516.5,-4500.0,2.0,2,2.0,2.0,33.7,-100.0,133.7
April-2010,2010,A,54449.175,616050,54449.175,20845.2773136,124.0,124,124.0,124.0,8.83843438033,3.38369893898,5.45473544135
April-2010,2010,AA,24325.4,323725,24325.4,-2264.28485418,72.0,72,72.0,72.0,7.51421731408,-0.699447016504,8.21366433058
April-2010,2010,B,20943.6,155500,20943.6,5708.94872263,26.0,26,26.0,26.0,13.4685530547,3.67134966086,9.79720339381
April-2010,2010,C,56952.0675,273725,56952.0675,5231.94602823,81.0,81,81.0,81.0,20.8063083387,1.91138771695,18.8949206217
April-2010,2010,D,114927.2825,444541,114927.2825,8232.04286729,114.0,114,114.0,114.0,25.8530219935,1.85180734,24.0012146535
April-2010,2010,E,50721.614,159730,50721.614,19121.8348112,46.0,46,46.0,46.0,31.7545946284,11.9713484075,19.783246221
April-2010,2010,HR,74358.225,227200,74358.225,1172.76138398,72.0,72,72.0,72.0,32.7280919894,0.51618018661,32.2119118028
April-2011,2011,A,32567.2437,340258,32567.2437,-15394.2954119,40.0,40,40.0,40.0,9.57133813165,-4.52430079878,14.0956389304
April-2011,2011,AA,23309.5799,345313,23309.5799,10013.4822401,37.0,37,37.0,37.0,6.75027580775,2.89982776208,3.85044804567
