Year,Credit Rating,S_DollarLenderYield,Loan Value (agg),S_LYNetP,S_annualNetP,L_DollarLenderYield,L_LOA,L_LYNetP,L_annualNetP,estYield,Estimated Yield,estRateDiff
2005,A,760.331,8998,760.331,392.251989456,1.0,1,1.0,1.0,8.45,4.3593241771,4.0906758229
2005,AA,862.05,12500,862.05,804.505291117,6.0,6,6.0,6.0,6.8964,6.43604232894,0.460357671063
2005,C,1725.0,15000,1725.0,1685.00770041,1.0,1,1.0,1.0,11.5,11.2333846694,0.266615330567
2005,D,380.0,4000,380.0,238.283433786,1.0,1,1.0,1.0,9.5,5.95708584465,3.54291415535
2005,HR,612.5,2500,612.5,1055.77418493,1.0,1,1.0,1.0,24.5,42.2309673974,-17.7309673974
2005,NC,408.0,4800,408.0,573.521437642,1.0,1,1.0,1.0,8.5,11.9483632842,-3.44836328421
2006,A,418680.4318,3528396,418680.4318,-122418.324568,462.0,462,462.0,462.0,11.866027277,-3.4695177233,15.3355450003
2006,AA,329671.9892,3332898,329671.9892,-5188.28740867,493.0,493,493.0,493.0,9.89145149957,-0.155668952625,10.0471204522
2006,B,622326.4649,4219961,622326.4649,-309912.790997,582.0,582,582.0,582.0,14.7472089173,-7.34397287077,22.0911817881
2006,C,853312.5644,5099687,853312.5644,-432246.174503,882.0,882,882.0,882.0,16.7326458349,-8.47593537609,25.208581211
2006,D,924817.3213,4500239,924817.3213,-475031.719244,954.0,954,954.0,954.0,20.5504045741,-10.5556998027,31.1061043768
2006,E,977297.3429,4069637,977297.3429,-811065.70401,1146.0,1146,1146.0,1146.0,24.0143615487,-19.9296817876,43.9440433363
2006,HR,692251.6881,2926129,692251.6881,-1025664.85704,1221.0,1221,1221.0,1221.0,23.657592953,-35.05193575,58.709528703
2006,NC,52472.8551,237663,52472.8551,-105543.25346,105.0,105,105.0,105.0,22.0786807791,-44.4087861635,66.4874669426
2007,A,1681648.8501,13434277,1681648.8501,-1363988.05021,1300.0,1300,1300.0,1300.0,12.5175984543,-10.1530439652,22.6706424195
2007,AA,1291860.5299,12191522,1291860.5299,-616254.902494,1269.0,1269,1269.0,1269.0,10.5963843555,-5.05478235198,15.6511667074
2007,B,2327296.0695,16028318,2327296.0695,-2153297.521,1677.0,1677,1677.0,1677.0,14.5199020228,-13.4343324171,27.9542344399
2007,C,2992547.0577,17164860,2992547.0577,-3004113.14707,2283.0,2283,2283.0,2283.0,17.4341477746,-17.501530144,34.9356779185
2007,D,2446219.7717,12326743,2446219.7717,-1982521.86943,2147.0,2147,2147.0,2147.0,19.8448184707,-16.0830956679,35.9279141386
2007,E,1149865.5895,4979025,1149865.5895,-1008519.06494,1217.0,1217,1217.0,1217.0,23.0941919251,-20.2553525026,43.3495444277
2007,HR,940661.1781,4071307,940661.1781,-1188937.08221,1436.0,1436,1436.0,1436.0,23.1046486571,-29.2028354091,52.3074840662
