ListingCategory,State,Year,freq
Auto,AK,2011,1
Auto,AK,2012,2
Auto,AK,2013,2
Auto,AL,2008,5
Auto,AL,2009,1
Auto,AL,2010,4
Auto,AL,2011,9
Auto,AL,2012,15
Auto,AL,2013,8
Auto,AL,2014,1
Auto,AR,2008,1
Auto,AR,2009,1
Auto,AR,2010,5
Auto,AR,2011,2
Auto,AR,2012,7
Auto,AR,2013,6
Auto,AR,2014,4
Auto,AZ,2008,3
Auto,AZ,2009,1
Auto,AZ,2010,5
Auto,AZ,2011,13
Auto,AZ,2012,16
Auto,AZ,2013,13
Auto,AZ,2014,1
Auto,CA,2007,2
Auto,CA,2008,43
Auto,CA,2009,13
Auto,CA,2010,37
Auto,CA,2011,79
Auto,CA,2012,122
Auto,CA,2013,81
Auto,CA,2014,15
Auto,CO,2008,8
Auto,CO,2009,3
Auto,CO,2010,6
Auto,CO,2011,17
Auto,CO,2012,19
Auto,CO,2013,8
Auto,CO,2014,1
Auto,CT,2008,1
Auto,CT,2009,2
Auto,CT,2010,3
Auto,CT,2011,9
Auto,CT,2012,14
Auto,CT,2013,12
Auto,CT,2014,7
Auto,DC,2008,2
Auto,DC,2010,1
Auto,DC,2011,3
Auto,DC,2012,3
Auto,DC,2013,1
Auto,DE,2009,1
Auto,DE,2012,3
Auto,DE,2013,2
Auto,FL,2008,18
Auto,FL,2009,7
Auto,FL,2010,22
Auto,FL,2011,58
Auto,FL,2012,54
Auto,FL,2013,27
Auto,FL,2014,10
Auto,GA,2008,16
Auto,GA,2009,5
Auto,GA,2010,21
Auto,GA,2011,29
Auto,GA,2012,37
Auto,GA,2013,25
Auto,GA,2014,3
Auto,HI,2008,1
Auto,HI,2011,3
Auto,HI,2012,2
Auto,HI,2013,6
Auto,HI,2014,2
Auto,ID,2008,5
Auto,ID,2009,1
Auto,ID,2010,5
Auto,ID,2011,6
Auto,ID,2012,7
Auto,ID,2013,4
Auto,ID,2014,2
Auto,IL,2008,17
Auto,IL,2009,9
Auto,IL,2010,20
Auto,IL,2011,28
Auto,IL,2012,51
Auto,IL,2013,21
Auto,IL,2014,3
Auto,IN,2008,7
Auto,IN,2009,3
Auto,IN,2010,3
Auto,IN,2011,14
Auto,IN,2012,16
Auto,IN,2013,16
Auto,IN,2014,1
Auto,KS,2008,6
Auto,KS,2010,4
Auto,KS,2011,7
Auto,KS,2012,10
Auto,KS,2013,2
Auto,KY,2008,5
Auto,KY,2010,5
Auto,KY,2011,8
Auto,KY,2012,4
Auto,KY,2013,7
Auto,KY,2014,2
Auto,LA,2008,2
Auto,LA,2010,1
Auto,LA,2011,8
Auto,LA,2012,10
Auto,LA,2013,6
Auto,MA,2008,4
Auto,MA,2009,1
Auto,MA,2011,7
Auto,MA,2012,26
Auto,MA,2013,13
Auto,MA,2014,1
Auto,MD,2008,4
Auto,MD,2009,2
Auto,MD,2010,13
Auto,MD,2011,18
Auto,MD,2012,26
Auto,MD,2013,14
Auto,MD,2014,5
Auto,MI,2008,14
Auto,MI,2009,6
Auto,MI,2010,12
Auto,MI,2011,19
Auto,MI,2012,25
Auto,MI,2013,20
Auto,MN,2008,20
Auto,MN,2009,5
Auto,MN,2010,6
Auto,MN,2011,20
Auto,MN,2012,21
Auto,MN,2013,17
Auto,MN,2014,2
Auto,MO,2008,12
Auto,MO,2009,4
Auto,MO,2010,9
Auto,MO,2011,22
Auto,MO,2012,21
Auto,MO,2013,7
Auto,MS,2008,1
Auto,MS,2009,1
Auto,MS,2010,2
Auto,MS,2011,6
Auto,MS,2012,7
Auto,MS,2013,4
Auto,MT,2008,2
Auto,MT,2009,1
Auto,MT,2010,1
Auto,MT,2011,1
Auto,MT,2012,2
Auto,NC,2008,11
Auto,NC,2009,2
Auto,NC,2010,16
Auto,NC,2011,21
Auto,NC,2012,32
Auto,NC,2013,10
Auto,NC,2014,7
Auto,NE,2008,2
Auto,NE,2009,2
Auto,NE,2010,1
Auto,NE,2011,8
Auto,NE,2012,10
Auto,NE,2013,7
Auto,NE,2014,1
Auto,NH,2008,2
Auto,NH,2009,1
Auto,NH,2011,4
Auto,NH,2012,3
Auto,NH,2013,4
Auto,NH,2014,1
Auto,NJ,2008,7
Auto,NJ,2009,6
Auto,NJ,2010,15
Auto,NJ,2011,9
Auto,NJ,2012,25
Auto,NJ,2013,13
Auto,NJ,2014,3
Auto,NM,2008,2
Auto,NM,2010,2
Auto,NM,2011,3
Auto,NM,2012,4
Auto,NM,2013,1
Auto,NM,2014,1
Auto,NV,2008,1
Auto,NV,2009,1
Auto,NV,2010,3
Auto,NV,2011,3
Auto,NV,2012,8
Auto,NV,2013,7
Auto,NV,2014,2
Auto,NY,2007,1
Auto,NY,2008,10
Auto,NY,2009,3
Auto,NY,2010,12
Auto,NY,2011,35
Auto,NY,2012,48
Auto,NY,2013,33
Auto,NY,2014,11
Auto,OH,2007,1
Auto,OH,2008,19
Auto,OH,2009,5
Auto,OH,2010,7
Auto,OH,2011,24
Auto,OH,2012,34
Auto,OH,2013,17
Auto,OH,2014,3
Auto,OK,2008,6
Auto,OK,2009,1
Auto,OK,2010,2
Auto,OK,2011,7
Auto,OK,2012,6
Auto,OK,2013,5
Auto,OK,2014,2
Auto,OR,2007,1
Auto,OR,2008,3
Auto,OR,2009,1
Auto,OR,2010,7
Auto,OR,2011,7
Auto,OR,2012,7
Auto,OR,2013,5
Auto,OR,2014,2
Auto,PA,2008,8
Auto,PA,2009,8
Auto,PA,2010,3
Auto,PA,2011,18
Auto,PA,2012,21
Auto,PA,2013,12
Auto,PA,2014,4
Auto,RI,2011,4
Auto,RI,2012,1
Auto,RI,2013,4
Auto,SC,2008,1
Auto,SC,2009,1
Auto,SC,2010,6
Auto,SC,2011,9
Auto,SC,2012,11
Auto,SC,2013,4
Auto,SC,2014,2
Auto,SD,2009,1
Auto,SD,2011,2
Auto,SD,2012,3
Auto,SD,2013,1
Auto,TN,2008,3
Auto,TN,2009,2
Auto,TN,2010,3
Auto,TN,2011,16
Auto,TN,2012,14
Auto,TN,2013,12
Auto,TN,2014,3
Auto,TX,2008,11
Auto,TX,2009,9
Auto,TX,2010,17
Auto,TX,2011,38
Auto,TX,2012,44
Auto,TX,2013,25
Auto,TX,2014,9
Auto,UT,2008,3
Auto,UT,2009,2
Auto,UT,2010,1
Auto,UT,2011,7
Auto,UT,2012,2
Auto,UT,2013,5
Auto,UT,2014,1
Auto,VA,2008,9
Auto,VA,2009,3
Auto,VA,2010,6
Auto,VA,2011,20
Auto,VA,2012,25
Auto,VA,2013,22
Auto,VA,2014,2
Auto,VT,2008,2
Auto,VT,2011,1
Auto,VT,2012,3
Auto,VT,2013,1
Auto,VT,2014,1
Auto,WA,2008,15
Auto,WA,2009,5
Auto,WA,2010,9
Auto,WA,2011,20
Auto,WA,2012,34
Auto,WA,2013,11
Auto,WA,2014,3
Auto,WI,2008,4
Auto,WI,2009,2
Auto,WI,2010,3
Auto,WI,2011,10
Auto,WI,2012,14
Auto,WI,2013,7
Auto,WV,2008,1
Auto,WV,2011,2
Auto,WV,2012,2
Auto,WV,2013,2
Auto,WV,2014,2
Auto,WY,2008,2
Auto,WY,2009,1
Auto,WY,2012,2
Auto,WY,2013,2
Business,AK,2008,3
Business,AK,2011,3
Business,AK,2012,5
Business,AK,2013,2
Business,AL,2008,17
Business,AL,2009,3
Business,AL,2010,6
Business,AL,2011,13
Business,AL,2012,19
Business,AL,2013,10
Business,AL,2014,3
Business,AR,2008,11
Business,AR,2009,1
Business,AR,2010,3
Business,AR,2011,8
Business,AR,2012,10
Business,AR,2013,9
Business,AR,2014,2
Business,AZ,2007,2
Business,AZ,2008,54
Business,AZ,2009,3
Business,AZ,2010,8
Business,AZ,2011,13
Business,AZ,2012,34
Business,AZ,2013,16
Business,AZ,2014,8
Business,CA,2007,11
Business,CA,2008,232
Business,CA,2009,33
Business,CA,2010,88
Business,CA,2011,156
Business,CA,2012,205
Business,CA,2013,171
Business,CA,2014,47
Business,CO,2007,1
Business,CO,2008,42
Business,CO,2009,10
Business,CO,2010,11
Business,CO,2011,27
Business,CO,2012,40
Business,CO,2013,27
Business,CO,2014,22
Business,CT,2008,16
Business,CT,2009,2
Business,CT,2010,4
Business,CT,2011,9
Business,CT,2012,19
Business,CT,2013,21
Business,CT,2014,2
Business,DC,2008,5
Business,DC,2011,9
Business,DC,2012,8
Business,DC,2013,7
Business,DC,2014,2
Business,DE,2008,2
Business,DE,2009,2
Business,DE,2010,1
Business,DE,2011,4
Business,DE,2013,3
Business,DE,2014,1
Business,FL,2007,3
Business,FL,2008,132
Business,FL,2009,11
Business,FL,2010,39
Business,FL,2011,106
Business,FL,2012,147
Business,FL,2013,114
Business,FL,2014,34
Business,GA,2007,7
Business,GA,2008,108
Business,GA,2009,20
Business,GA,2010,28
Business,GA,2011,69
Business,GA,2012,89
Business,GA,2013,62
Business,GA,2014,20
Business,HI,2008,8
Business,HI,2009,2
Business,HI,2011,3
Business,HI,2012,6
Business,HI,2013,8
Business,HI,2014,1
Business,IA,2007,1
Business,IA,2008,9
Business,ID,2007,1
Business,ID,2008,15
Business,ID,2009,2
Business,ID,2010,4
Business,ID,2011,10
Business,ID,2012,9
Business,ID,2013,6
Business,ID,2014,1
Business,IL,2007,1
Business,IL,2008,93
Business,IL,2009,7
Business,IL,2010,24
Business,IL,2011,69
Business,IL,2012,80
Business,IL,2013,68
Business,IL,2014,14
Business,IN,2008,33
Business,IN,2009,3
Business,IN,2010,14
Business,IN,2011,20
Business,IN,2012,35
Business,IN,2013,18
Business,IN,2014,5
Business,KS,2008,11
Business,KS,2010,4
Business,KS,2011,14
Business,KS,2012,8
Business,KS,2013,18
Business,KS,2014,4
Business,KY,2008,10
Business,KY,2009,1
Business,KY,2010,2
Business,KY,2011,6
Business,KY,2012,18
Business,KY,2013,8
Business,KY,2014,2
Business,LA,2008,11
Business,LA,2010,1
Business,LA,2011,13
Business,LA,2012,16
Business,LA,2013,12
Business,LA,2014,2
Business,MA,2007,1
Business,MA,2008,28
Business,MA,2009,2
Business,MA,2010,11
Business,MA,2011,13
Business,MA,2012,28
Business,MA,2013,29
Business,MA,2014,9
Business,MD,2007,2
Business,MD,2008,41
Business,MD,2009,5
Business,MD,2010,19
Business,MD,2011,29
Business,MD,2012,55
Business,MD,2013,28
Business,MD,2014,9
Business,ME,2008,10
Business,MI,2007,4
Business,MI,2008,61
Business,MI,2009,8
Business,MI,2010,18
Business,MI,2011,36
Business,MI,2012,48
Business,MI,2013,28
Business,MI,2014,10
Business,MN,2008,48
Business,MN,2009,2
Business,MN,2010,6
Business,MN,2011,17
Business,MN,2012,30
Business,MN,2013,26
Business,MN,2014,5
Business,MO,2008,54
Business,MO,2009,8
Business,MO,2010,20
Business,MO,2011,35
Business,MO,2012,33
Business,MO,2013,33
Business,MO,2014,9
Business,MS,2007,2
Business,MS,2008,25
Business,MS,2009,1
Business,MS,2010,2
Business,MS,2011,17
Business,MS,2012,7
Business,MS,2013,5
Business,MS,2014,2
Business,MT,2008,8
Business,MT,2010,2
Business,MT,2011,8
Business,MT,2012,9
Business,MT,2013,4
Business,NC,2007,8
Business,NC,2008,140
Business,NC,2009,12
Business,NC,2010,26
Business,NC,2011,39
Business,NC,2012,43
Business,NC,2013,31
Business,NC,2014,12
Business,ND,2008,2
Business,NE,2008,5
Business,NE,2009,1
Business,NE,2010,1
Business,NE,2011,2
Business,NE,2012,8
Business,NE,2013,10
Business,NE,2014,3
Business,NH,2008,4
Business,NH,2010,1
Business,NH,2011,3
Business,NH,2012,3
Business,NH,2013,8
Business,NH,2014,1
Business,NJ,2007,2
Business,NJ,2008,23
Business,NJ,2009,2
Business,NJ,2010,10
Business,NJ,2011,31
Business,NJ,2012,40
Business,NJ,2013,42
Business,NJ,2014,10
Business,NM,2007,1
Business,NM,2008,4
Business,NM,2010,2
Business,NM,2011,7
Business,NM,2012,8
Business,NM,2013,9
Business,NM,2014,2
Business,NV,2008,8
Business,NV,2010,8
Business,NV,2011,11
Business,NV,2012,19
Business,NV,2013,15
Business,NV,2014,2
Business,NY,2007,3
Business,NY,2008,64
Business,NY,2009,9
Business,NY,2010,30
Business,NY,2011,70
Business,NY,2012,108
Business,NY,2013,106
Business,NY,2014,22
Business,OH,2007,1
Business,OH,2008,58
Business,OH,2009,1
Business,OH,2010,21
Business,OH,2011,42
Business,OH,2012,62
Business,OH,2013,51
Business,OH,2014,10
Business,OK,2007,1
Business,OK,2008,9
Business,OK,2009,3
Business,OK,2010,3
Business,OK,2011,8
Business,OK,2012,18
Business,OK,2013,13
Business,OK,2014,2
Business,OR,2007,5
Business,OR,2008,40
Business,OR,2009,8
Business,OR,2010,11
Business,OR,2011,16
Business,OR,2012,32
Business,OR,2013,24
Business,OR,2014,5
Business,PA,2008,39
Business,PA,2009,4
Business,PA,2010,8
Business,PA,2011,30
Business,PA,2012,43
Business,PA,2013,34
Business,PA,2014,7
Business,RI,2008,3
Business,RI,2010,1
Business,RI,2011,4
Business,RI,2012,7
Business,RI,2013,5
Business,SC,2008,14
Business,SC,2009,7
Business,SC,2010,5
Business,SC,2011,20
Business,SC,2012,24
Business,SC,2013,12
Business,SC,2014,3
Business,SD,2010,2
Business,SD,2011,2
Business,SD,2012,4
Business,SD,2014,2
Business,TN,2008,21
Business,TN,2009,1
Business,TN,2010,11
Business,TN,2011,15
Business,TN,2012,31
Business,TN,2013,25
Business,TN,2014,5
Business,TX,2007,9
Business,TX,2008,110
Business,TX,2009,17
Business,TX,2010,28
Business,TX,2011,90
Business,TX,2012,116
Business,TX,2013,90
Business,TX,2014,19
Business,UT,2007,5
Business,UT,2008,27
Business,UT,2009,4
Business,UT,2010,14
Business,UT,2011,12
Business,UT,2012,15
Business,UT,2013,11
Business,UT,2014,2
Business,VA,2007,2
Business,VA,2008,44
Business,VA,2009,5
Business,VA,2010,20
Business,VA,2011,34
Business,VA,2012,58
Business,VA,2013,37
Business,VA,2014,12
Business,VT,2008,2
Business,VT,2009,3
Business,VT,2010,1
Business,VT,2012,1
Business,VT,2014,3
Business,WA,2007,2
Business,WA,2008,55
Business,WA,2009,8
Business,WA,2010,17
Business,WA,2011,34
Business,WA,2012,58
Business,WA,2013,37
Business,WA,2014,9
Business,WI,2007,1
Business,WI,2008,28
Business,WI,2009,3
Business,WI,2010,12
Business,WI,2011,17
Business,WI,2012,25
Business,WI,2013,18
Business,WI,2014,4
Business,WV,2008,3
Business,WV,2010,1
Business,WV,2011,3
Business,WV,2012,3
Business,WV,2013,1
Business,WV,2014,3
Business,WY,2009,1
Business,WY,2010,2
Business,WY,2011,1
Business,WY,2012,2
Business,WY,2013,3
Debt,AK,2007,1
Debt,AK,2008,4
Debt,AK,2010,5
Debt,AK,2011,10
Debt,AK,2012,16
Debt,AK,2013,42
Debt,AK,2014,26
Debt,AL,2007,3
Debt,AL,2008,78
Debt,AL,2009,8
Debt,AL,2010,37
Debt,AL,2011,78
Debt,AL,2012,146
Debt,AL,2013,365
Debt,AL,2014,120
Debt,AR,2008,27
Debt,AR,2009,8
Debt,AR,2010,14
Debt,AR,2011,46
Debt,AR,2012,77
Debt,AR,2013,230
Debt,AR,2014,91
Debt,AZ,2007,8
Debt,AZ,2008,97
Debt,AZ,2009,11
Debt,AZ,2010,40
Debt,AZ,2011,65
Debt,AZ,2012,135
Debt,AZ,2013,411
Debt,AZ,2014,172
Debt,CA,2007,40
Debt,CA,2008,752
Debt,CA,2009,132
Debt,CA,2010,370
Debt,CA,2011,630
Debt,CA,2012,1116
Debt,CA,2013,3401
Debt,CA,2014,1266
Debt,CO,2007,9
Debt,CO,2008,100
Debt,CO,2009,29
Debt,CO,2010,56
Debt,CO,2011,122
Debt,CO,2012,191
Debt,CO,2013,515
Debt,CO,2014,198
Debt,CT,2007,2
Debt,CT,2008,35
Debt,CT,2009,19
Debt,CT,2010,48
Debt,CT,2011,93
Debt,CT,2012,165
Debt,CT,2013,458
Debt,CT,2014,146
Debt,DC,2008,28
Debt,DC,2009,9
Debt,DC,2010,9
Debt,DC,2011,29
Debt,DC,2012,52
Debt,DC,2013,81
Debt,DC,2014,28
Debt,DE,2008,13
Debt,DE,2009,1
Debt,DE,2010,10
Debt,DE,2011,12
Debt,DE,2012,33
Debt,DE,2013,76
Debt,DE,2014,40
Debt,FL,2007,4
Debt,FL,2008,310
Debt,FL,2009,57
Debt,FL,2010,154
Debt,FL,2011,354
Debt,FL,2012,573
Debt,FL,2013,1455
Debt,FL,2014,534
Debt,GA,2007,18
Debt,GA,2008,301
Debt,GA,2009,57
Debt,GA,2010,105
Debt,GA,2011,236
Debt,GA,2012,380
Debt,GA,2013,850
Debt,GA,2014,350
Debt,HI,2008,18
Debt,HI,2009,2
Debt,HI,2010,6
Debt,HI,2011,17
Debt,HI,2012,29
Debt,HI,2013,116
Debt,HI,2014,38
Debt,IA,2007,1
Debt,IA,2008,44
Debt,ID,2007,2
Debt,ID,2008,45
Debt,ID,2009,9
Debt,ID,2010,21
Debt,ID,2011,20
Debt,ID,2012,40
Debt,ID,2013,127
Debt,ID,2014,60
Debt,IL,2007,25
Debt,IL,2008,348
Debt,IL,2009,69
Debt,IL,2010,155
Debt,IL,2011,309
Debt,IL,2012,463
Debt,IL,2013,1248
Debt,IL,2014,453
Debt,IN,2007,4
Debt,IN,2008,101
Debt,IN,2009,25
Debt,IN,2010,58
Debt,IN,2011,108
Debt,IN,2012,208
Debt,IN,2013,473
Debt,IN,2014,182
Debt,KS,2007,1
Debt,KS,2008,53
Debt,KS,2009,3
Debt,KS,2010,21
Debt,KS,2011,55
Debt,KS,2012,98
Debt,KS,2013,277
Debt,KS,2014,112
Debt,KY,2008,25
Debt,KY,2009,5
Debt,KY,2010,24
Debt,KY,2011,58
Debt,KY,2012,139
Debt,KY,2013,277
Debt,KY,2014,99
Debt,LA,2008,20
Debt,LA,2009,4
Debt,LA,2010,25
Debt,LA,2011,42
Debt,LA,2012,98
Debt,LA,2013,249
Debt,LA,2014,107
Debt,MA,2007,3
Debt,MA,2008,91
Debt,MA,2009,15
Debt,MA,2010,62
Debt,MA,2011,104
Debt,MA,2012,220
Debt,MA,2013,547
Debt,MA,2014,216
Debt,MD,2007,4
Debt,MD,2008,127
Debt,MD,2009,29
Debt,MD,2010,58
Debt,MD,2011,140
Debt,MD,2012,268
Debt,MD,2013,597
Debt,MD,2014,239
Debt,ME,2007,2
Debt,ME,2008,30
Debt,MI,2007,7
Debt,MI,2008,171
Debt,MI,2009,19
Debt,MI,2010,73
Debt,MI,2011,143
Debt,MI,2012,271
Debt,MI,2013,785
Debt,MI,2014,311
Debt,MN,2007,5
Debt,MN,2008,145
Debt,MN,2009,29
Debt,MN,2010,61
Debt,MN,2011,109
Debt,MN,2012,199
Debt,MN,2013,489
Debt,MN,2014,192
Debt,MO,2007,11
Debt,MO,2008,124
Debt,MO,2009,26
Debt,MO,2010,79
Debt,MO,2011,132
Debt,MO,2012,215
Debt,MO,2013,506
Debt,MO,2014,175
Debt,MS,2008,18
Debt,MS,2009,3
Debt,MS,2010,15
Debt,MS,2011,43
Debt,MS,2012,68
Debt,MS,2013,212
Debt,MS,2014,84
Debt,MT,2007,3
Debt,MT,2008,17
Debt,MT,2009,2
Debt,MT,2010,7
Debt,MT,2011,13
Debt,MT,2012,21
Debt,MT,2013,75
Debt,MT,2014,23
Debt,NC,2008,90
Debt,NC,2009,26
Debt,NC,2010,100
Debt,NC,2011,171
Debt,NC,2012,303
Debt,NC,2013,653
Debt,NC,2014,247
Debt,ND,2007,1
Debt,ND,2008,15
Debt,NE,2007,1
Debt,NE,2008,36
Debt,NE,2009,6
Debt,NE,2010,18
Debt,NE,2011,40
Debt,NE,2012,51
Debt,NE,2013,174
Debt,NE,2014,84
Debt,NH,2007,1
Debt,NH,2008,29
Debt,NH,2009,3
Debt,NH,2010,10
Debt,NH,2011,25
Debt,NH,2012,51
Debt,NH,2013,136
Debt,NH,2014,59
Debt,NJ,2007,3
Debt,NJ,2008,93
Debt,NJ,2009,15
Debt,NJ,2010,69
Debt,NJ,2011,160
Debt,NJ,2012,292
Debt,NJ,2013,893
Debt,NJ,2014,306
Debt,NM,2007,1
Debt,NM,2008,26
Debt,NM,2009,3
Debt,NM,2010,11
Debt,NM,2011,22
Debt,NM,2012,29
Debt,NM,2013,101
Debt,NM,2014,60
Debt,NV,2008,33
Debt,NV,2009,9
Debt,NV,2010,34
Debt,NV,2011,60
Debt,NV,2012,83
Debt,NV,2013,382
Debt,NV,2014,137
Debt,NY,2007,9
Debt,NY,2008,205
Debt,NY,2009,52
Debt,NY,2010,153
Debt,NY,2011,345
Debt,NY,2012,662
Debt,NY,2013,1688
Debt,NY,2014,667
Debt,OH,2007,2
Debt,OH,2008,228
Debt,OH,2009,28
Debt,OH,2010,104
Debt,OH,2011,231
Debt,OH,2012,376
Debt,OH,2013,1020
Debt,OH,2014,406
Debt,OK,2008,58
Debt,OK,2009,6
Debt,OK,2010,26
Debt,OK,2011,44
Debt,OK,2012,92
Debt,OK,2013,204
Debt,OK,2014,93
Debt,OR,2007,6
Debt,OR,2008,108
Debt,OR,2009,18
Debt,OR,2010,54
Debt,OR,2011,91
Debt,OR,2012,141
Debt,OR,2013,376
Debt,OR,2014,118
Debt,PA,2008,116
Debt,PA,2009,24
Debt,PA,2010,71
Debt,PA,2011,159
Debt,PA,2012,280
Debt,PA,2013,800
Debt,PA,2014,323
Debt,RI,2008,11
Debt,RI,2009,2
Debt,RI,2010,14
Debt,RI,2011,29
Debt,RI,2012,48
Debt,RI,2013,126
Debt,RI,2014,50
Debt,SC,2007,1
Debt,SC,2008,41
Debt,SC,2009,11
