Year,State,Auto,Business,Debt,Home,Medical,Other/NA,Personal,Student,Taxes,Vacation,Wedding,FIPS
2007,AK,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,US02
2007,AL,0.0,0.0,3.0,0.0,0.0,219.0,3.0,0.0,0.0,0.0,0.0,US01
2007,AR,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,US05
2007,AZ,0.0,2.0,8.0,0.0,0.0,206.0,2.0,0.0,0.0,0.0,0.0,US04
2007,CA,2.0,11.0,40.0,2.0,0.0,1648.0,19.0,2.0,0.0,0.0,0.0,US06
2007,CO,0.0,1.0,9.0,0.0,0.0,179.0,3.0,0.0,0.0,0.0,0.0,US08
2007,CT,0.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,US09
2007,DE,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,US10
2007,FL,0.0,3.0,4.0,1.0,0.0,398.0,3.0,0.0,0.0,0.0,0.0,US12
2007,GA,0.0,7.0,18.0,2.0,0.0,683.0,6.0,3.0,0.0,0.0,0.0,US13
2007,HI,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,US15
2007,IA,0.0,1.0,1.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,US19
2007,ID,0.0,1.0,2.0,0.0,0.0,68.0,4.0,0.0,0.0,0.0,0.0,US16
2007,IL,0.0,1.0,25.0,3.0,0.0,684.0,11.0,2.0,0.0,0.0,0.0,US17
2007,IN,0.0,0.0,4.0,1.0,0.0,134.0,4.0,1.0,0.0,0.0,0.0,US18
2007,KS,0.0,0.0,1.0,1.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,US20
2007,KY,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,US21
2007,LA,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,US22
2007,MA,0.0,1.0,3.0,0.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,US25
2007,MD,0.0,2.0,4.0,0.0,0.0,227.0,2.0,0.0,0.0,0.0,0.0,US24
2007,ME,0.0,0.0,2.0,0.0,0.0,29.0,3.0,0.0,0.0,0.0,0.0,US23
2007,MI,0.0,4.0,7.0,2.0,0.0,420.0,8.0,1.0,0.0,0.0,0.0,US26
2007,MN,0.0,0.0,5.0,0.0,0.0,204.0,6.0,1.0,0.0,0.0,0.0,US27
2007,MO,0.0,0.0,11.0,0.0,0.0,353.0,6.0,0.0,0.0,0.0,0.0,US29
2007,MS,0.0,2.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,US28
2007,MT,0.0,0.0,3.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,US30
